,datetime,symbol,close
0,2003-01-17T10:00:00,BMFBOVESPA:ITUB4,0.43863476
1,2003-01-20T10:00:00,BMFBOVESPA:ITUB4,0.42581501
2,2003-01-21T10:00:00,BMFBOVESPA:ITUB4,0.41757306
3,2003-01-22T10:00:00,BMFBOVESPA:ITUB4,0.39834264
4,2003-01-23T10:00:00,BMFBOVESPA:ITUB4,0.39468007
5,2003-01-24T10:00:00,BMFBOVESPA:ITUB4,0.39468007
6,2003-01-27T10:00:00,BMFBOVESPA:ITUB4,0.39101673
7,2003-01-28T10:00:00,BMFBOVESPA:ITUB4,0.39284879
8,2003-01-29T10:00:00,BMFBOVESPA:ITUB4,0.40566855
9,2003-01-30T10:00:00,BMFBOVESPA:ITUB4,0.39834264
10,2003-01-31T10:00:00,BMFBOVESPA:ITUB4,0.39925867
11,2003-02-03T10:00:00,BMFBOVESPA:ITUB4,0.41299446
12,2003-02-04T10:00:00,BMFBOVESPA:ITUB4,0.41207921
13,2003-02-05T10:00:00,BMFBOVESPA:ITUB4,0.41116318
14,2003-02-06T10:00:00,BMFBOVESPA:ITUB4,0.4047533
15,2003-02-07T10:00:00,BMFBOVESPA:ITUB4,0.4001747
16,2003-02-10T10:00:00,BMFBOVESPA:ITUB4,0.4047533
17,2003-02-11T10:00:00,BMFBOVESPA:ITUB4,0.4093319
18,2003-02-12T10:00:00,BMFBOVESPA:ITUB4,0.41391049
19,2003-02-13T10:00:00,BMFBOVESPA:ITUB4,0.40749984
20,2003-02-14T10:00:00,BMFBOVESPA:ITUB4,0.40108996
21,2003-02-17T10:00:00,BMFBOVESPA:ITUB4,0.39834264
22,2003-02-18T10:00:00,BMFBOVESPA:ITUB4,0.40566855
23,2003-02-19T10:00:00,BMFBOVESPA:ITUB4,0.39193276
24,2003-02-20T10:00:00,BMFBOVESPA:ITUB4,0.39376404
25,2003-02-21T10:00:00,BMFBOVESPA:ITUB4,0.39468007
26,2003-02-24T10:00:00,BMFBOVESPA:ITUB4,0.38552288
27,2003-02-25T10:00:00,BMFBOVESPA:ITUB4,0.39376404
28,2003-02-26T10:00:00,BMFBOVESPA:ITUB4,0.38735417
29,2003-02-27T10:00:00,BMFBOVESPA:ITUB4,0.39376404
30,2003-02-28T10:00:00,BMFBOVESPA:ITUB4,0.40658459
31,2003-03-05T10:00:00,BMFBOVESPA:ITUB4,0.41024715
32,2003-03-06T10:00:00,BMFBOVESPA:ITUB4,0.43222488
33,2003-03-07T10:00:00,BMFBOVESPA:ITUB4,0.42947757
34,2003-03-10T10:00:00,BMFBOVESPA:ITUB4,0.43130885
35,2003-03-11T10:00:00,BMFBOVESPA:ITUB4,0.4303936
36,2003-03-12T10:00:00,BMFBOVESPA:ITUB4,0.4303936
37,2003-03-13T10:00:00,BMFBOVESPA:ITUB4,0.44596068
38,2003-03-14T10:00:00,BMFBOVESPA:ITUB4,0.44779196
39,2003-03-17T10:00:00,BMFBOVESPA:ITUB4,0.44779196
40,2003-03-18T10:00:00,BMFBOVESPA:ITUB4,0.46152853
41,2003-03-19T10:00:00,BMFBOVESPA:ITUB4,0.46335981
42,2003-03-20T10:00:00,BMFBOVESPA:ITUB4,0.46610713
43,2003-03-21T10:00:00,BMFBOVESPA:ITUB4,0.48442152
44,2003-03-24T10:00:00,BMFBOVESPA:ITUB4,0.47526432
45,2003-03-25T10:00:00,BMFBOVESPA:ITUB4,0.4770956
46,2003-03-26T10:00:00,BMFBOVESPA:ITUB4,0.47984292
47,2003-03-27T10:00:00,BMFBOVESPA:ITUB4,0.48533755
48,2003-03-28T10:00:00,BMFBOVESPA:ITUB4,0.47984292
49,2003-03-31T10:00:00,BMFBOVESPA:ITUB4,0.48259023
